file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2011-P-D-B05-4-R-01_0085_651231_to_654471,ངའི་ཀ་ཅི་སྒོར་མ་ཁྲི་གཉིས་ཆགས་ཡོད་ལབ་རེད། འོ་དེ་ཁྱེར་ཤོག་ལབ་རེད།  ,nga'i ka ci sgor ma khri gnyis chags yod lab red/_'o de khyer shog lab red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0085_651231_to_654471.wav,STT_CS,3,65,3.24,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0085_651231_to_654471.wav,ངའི་ཀ་ཅི་སྒོར་མོ་ཁྲི་གཉིས་ཆགས་ཡོད་ལབ་རེད་། འོ་དེ་འཁྱུར་སོང་ལབ་རེད་།
STT_CS-D-2011-P-D-B05-4-R-01_0086_658622_to_663617,ཨ་ལས་ངས་དཱ་རྫུན་མ་ལབ་ཡིན། ཧ་ཧ་གད་མོ་ཤོར་ནས་འགྲོ་རེད་དཱ།  ,a las ngas dA rdzun ma lab yin/_ha ha gad mo shor nas 'gro red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0086_658622_to_663617.wav,STT_CS,3,57,4.995,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0086_658622_to_663617.wav,ཨ་ལས་ངས་ད་རྫུན་མ་ལབ་ཡི། ཧ་གད་མོ་ཤོར་ནས་འགྲོ་རེད་དཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0087_670300_to_675683,བུ་དཱ། དབང་ལྡན། དབང་ལྡན་ལབ་ཡ་གཅིག་དཱ་ཡོད་བ། ཀུན་ལྡན་ལབ་ཡ་གཅིག་ཡོད་རེད་རཱ།  ,bu dA/_dbang ldan/_dbang ldan lab ya gcig dA yod ba/_kun ldan lab ya gcig yod red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0087_670300_to_675683.wav,STT_CS,3,75,5.383,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0087_670300_to_675683.wav,བུ་ད་དབང་ལྡན། དབང་ལྡན་ལབ་ཡ་གཅིག་དང་ཡོད་བ། ཀུན་ལྡན་ལབ་ཡ་གཅིག་ཡོད་རེད་རཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0088_675936_to_678754,འོ་དེ་དཱ་ཁོང་ཚོ་ལམ་ཁ་ལ་འགྲོ་བསྡད་ཡོད་རེད་དཱ།  ,'o de dA khong tsho lam kha la 'gro bsdad yod red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0088_675936_to_678754.wav,STT_CS,3,46,2.818,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0088_675936_to_678754.wav,འོ་དེ་ད་ཁོང་ཚོ་ལམ་ཁ་ལ་འགྲོ་བསྡད་ཡོད་རེད་དཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0089_681792_to_690314,ཨེ་ནས་ཡོད་རཱ། བུ་དབང་ལྡན་ག་རེ་ཟ། བུ་ཀུན་ལྡན་ལབ་ཡ་དེས་ཡོད་རཱ། བུ་དབང་ལྡན་ག་རེ་ཟ། བུ། བུ་གཞན་པ་གཅིག་འདུག་ག་འོ་དེའི་མིང་ལ་དབང་ལྡན་རེད་དཱ།  ,e nas yod rA/_bu dbang ldan ga re za/_bu kun ldan lab ya des yod rA/_bu dbang ldan ga re za/_bu/_bu gzhan pa gcig 'dug ga 'o de'i ming la dbang ldan red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0089_681792_to_690314.wav,STT_CS,3,136,8.522,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0089_681792_to_690314.wav,ཨེ་ནས་ཡོད་རཱ། བུ་དབང་ལྡན། ག་རེ་ཟ། བུ་ཀུན་ལྡན་ལབ་ཡ་དེ་ཡོད་རཱ། བུ་དབང་ལྡན། ག་རེ་ཟ། བུ བུ་གཞན་པ་ཅིག་འདུག་ག འོ་དེའི་མིང་དབང་ལྡན་རེད་དཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0090_690516_to_697350,འོ་དེ་ལ་རཱ་ཧའི་ལབ་རེད་དཱ། ཁྱེད་རང་འདི་ལ་ལས་ཀ་བྱེད་ཀྱི་ཡོད་བས་ལབ་རེད་དཱ། འོང་ང་། ང་ཟ་ཁང་འདི་ལ་ལས་ཀ་བྱེད་ཀྱི་ཡོད་ལབ་རེད་དཱ།  ,'o de la rA ha'i lab red dA/_khyed rang 'di la las ka byed kyi yod bas lab red dA/_'ong nga /_nga za khang 'di la las ka byed kyi yod lab red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0090_690516_to_697350.wav,STT_CS,3,123,6.834,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0090_690516_to_697350.wav,འོ་དེ་ལ་ཡོད་རཱ། ཧའེ་ལབ་རེད་དཱ། ཁྱོད་རང་འདི་ལ་ལས་ཀ་བྱེད་ཀྱི་ཡོད་ལབ་རེད་དཱ། འོ་ང་།ང་ཟ་ཁང་དང་ལ་ལས་ཀ་བྱེད་ཀྱི་ཡོད་ལབ་རེད་དཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0131_978395_to_985424,ག་རེ་ཟ། བསྟན་ཟླ་བ་ཡིས་རཱ། ཧེ་ལོ། ག་བར་འགྲོ་ཡིན་ལབ་རེད་དཱ། ཉི་མ་མང་པོ་གཅིག་རྗེས་ལ་ཐུག་མ་སོང་བས་ལབ་རེད་དཱ། ཨེ་ནས་ཡོད་བ།  ,ga re za/_bstan zla ba yis rA/_he lo/_ga bar 'gro yin lab red dA/_nyi ma mang po gcig rjes la thug ma song bas lab red dA/_e nas yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0131_978395_to_985424.wav,STT_CS,3,119,7.029,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0131_978395_to_985424.wav,བསྟན་ཟླ་བ་ཡོད་རཱ། ཧ་ལོ་ག་བར་འགྲོ་ཡིད་ལབ་རེད་དཱ། ཉི་མ་མང་པོ་གཅིག་རྗེས་ལ་འྲུ་མ་ཆོག་ལབ་རེད་དཱ། ཨེ་ནས་ཡོད་བ།
STT_CS-D-2011-P-D-B05-4-R-01_0132_985795_to_994241,ཨེ་ནས་ཡོད་བ། ཁོ། ཁོ། ད་ང་ཡོད་རཱ་གྷ་རི་ནང་ལོག་ལ་ལོག་འགྲོ་ཡ་ཡིན་ལབ་རེད་དཱ། ཨ་ལས་ཨེ་ནས་ང་ཡང་འགྲོ་ཡ་ཡིན། འགྲོ་བཞག་དགོས་ལབ་རེད།  ,e nas yod ba/_kho/_kho/_da nga yod rA g+ha ri nang log la log 'gro ya yin lab red dA/_a las e nas nga yang 'gro ya yin/_'gro bzhag dgos lab red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0132_985795_to_994241.wav,STT_CS,3,124,8.446,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0132_985795_to_994241.wav,ཨ་ནས་ཡོད་བ། ཁོ་ཡིས། ཁོ། ད་ང་ཡོད་རཱ་གྷ་རི་ནང་ལོགས་ལོག་སོང་ཡ་ཡིན་ལབ་རེད་དཱ། ཨ་ལས། ཨ་ནས་ང་ཨ་དྲ་འགྲོ་ཡ་ིན འགྲོ་ཞག་དགོ་ལབ་རེད།
STT_CS-D-2011-P-D-B05-4-R-01_0133_994241_to_1002687,དཱ། ཨེ་ནས་རྗེས་ནས་ཐུག་དགོས་ལབ་རེད་དཱ། སར་ཉིན་ཡོད་རཱ། ཁྱོད་རང་ཟ་ཁང་གཅིག་ནང་ལོག་ཤོག་ལབ་རེད་དཱ། ཨེ་ནས་བྷཡེ་བྷཡེ། ཨེ་ནས་སྒྲུང་རྫོགས་རེད་དཱ།  ,dA/_e nas rjes nas thug dgos lab red dA/_sar nyin yod rA/_khyod rang za khang gcig nang log shog lab red dA/_e nas b+haye b+haye/_e nas sgrung rdzogs red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0133_994241_to_1002687.wav,STT_CS,3,137,8.446,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0133_994241_to_1002687.wav,། ཨེ་ནས་རྗེས་ནས་ཐུག་དགོས་ལབ་རེད་དཱ། སང་ཉིན་ཡོད་རཱ། ཁྱོད་རང་ཟ་ཁང་གཅིག་ནང་ལོགས་ཤོག་ལབ་རེད་དཱ། ཨ་ནས་བྷཡེ་བྷཡེ། ཨ་ནས་ྒྱིམ་རྫོགས་རེད་དཱ།
STT_CS-D-2011-P-D-B05-4-R-01_0134_1002687_to_1011133,སྔོན་མ་སྔོན་མ་ཡོད་རཱ། སྒྲུང་ག་ཚོད་བཤད་ཚར། བུ་གཉིས་དཱ་ཡོད་རཱ། བུ་གཉིས་དཱ་ཡོད་རཱ་བུ་མོ་གཅིག་ཡོད་རེད་རཱ། ཨེ་ནས་འོ་དེ།  ,sngon ma sngon ma yod rA/_sgrung ga tshod bshad tshar/_bu gnyis dA yod rA/_bu gnyis dA yod rA bu mo gcig yod red rA/_e nas 'o de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0134_1002687_to_1011133.wav,STT_CS,3,116,8.446,wav16k/STT_CS-D-2011-P-D-B05-4-R-01_0134_1002687_to_1011133.wav,སྔོན་མ་སྔོན་མ་ཡོད་རཱ། སྒྲུང་ག་ཚོད་བཤད་སོང་ང། བུ་གཉིས་དང་ཡོད་རཱ། བུ་གཉིས་དང་ཡོད་རཱ། བུ་མོ་གཅིག་ཡོད་རེད་རཱ། ཨ་ནས་འོ་དེ་ད་ྟ
